tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
14,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,210506,0.0,0.0,0.0,0.0,193.0,0.0,20.520191649555098,126774,0.0,0.0,0.0,0.0,193.0,0.0,26.555783709787818,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,1270,12,3195
15,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,132686,0.0,0.0,0.0,0.0,185.0,0.0,28.032854209445585,124186,0.0,0.0,0.0,0.0,183.0,0.0,28.082135523613964,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1445,58,965
16,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,206681,0.0,0.0,0.0,0.0,193.0,0.0,25.399726214921287,205734,0.0,0.0,0.0,0.0,185.0,0.0,24.980150581793293,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,960,79,732
17,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,105902,0.0,0.0,0.0,0.0,183.0,0.0,33.11225188227242,208502,0.0,0.0,0.0,0.0,183.0,0.0,22.54483230663929,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,637,304,173
18,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,210317,0.0,0.0,0.0,0.0,188.0,0.0,21.659822039698838,211776,0.0,0.0,0.0,0.0,191.0,0.0,19.147843942505133,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258,216,142,414
19,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,206173,0.0,0.0,0.0,0.0,191.0,0.0,23.54483230663929,111797,0.0,0.0,0.0,0.0,201.0,0.0,29.39151266255989,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11830,36,1340
20,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,111442,0.0,0.0,0.0,0.0,183.0,0.0,30.867898699520875,136440,0.0,0.0,0.0,0.0,180.0,0.0,30.843258042436688,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1695,124,485
21,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,209262,0.0,0.0,0.0,0.0,183.0,0.0,24.01368925393566,106121,0.0,0.0,0.0,0.0,191.0,0.0,32.09582477754962,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,336,113,519
22,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,126846,0.0,0.0,0.0,0.0,188.0,0.0,28.906228610540726,106000,0.0,0.0,0.0,0.0,175.0,0.0,32.785763175906915,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,778,82,679
23,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,207733,0.0,0.0,0.0,0.0,193.0,0.0,23.194387405886378,208363,0.0,0.0,0.0,0.0,178.0,0.0,24.01095140314853,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2530,47,1173
24,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,106423,0.0,0.0,0.0,0.0,193.0,0.0,28.895277207392198,126128,0.0,0.0,0.0,0.0,185.0,0.0,27.569472963723477,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,766,63,823
25,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,209070,0.0,0.0,0.0,0.0,183.0,0.0,22.525667351129364,202104,0.0,0.0,0.0,0.0,170.0,0.0,24.177960301163587,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,732,28,1690
26,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,106415,0.0,0.0,0.0,0.0,170.0,0.0,29.42984257357974,144826,0.0,0.0,0.0,0.0,188.0,0.0,27.93634496919918,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,807,231,254
27,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,200624,0.0,0.0,0.0,0.0,196.0,0.0,24.659822039698838,127760,0.0,0.0,0.0,0.0,193.0,0.0,26.947296372347708,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2065,144,405
28,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,210262,0.0,0.0,0.0,0.0,188.0,0.0,21.57221081451061,200303,0.0,0.0,0.0,0.0,191.0,0.0,26.28747433264887,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,481,97,612
29,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,200000,0.0,0.0,0.0,0.0,193.0,0.0,24.566735112936346,105526,0.0,0.0,0.0,0.0,193.0,0.0,34.85420944558521,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1905,43,1240
30,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,207989,0.0,0.0,0.0,0.0,183.0,0.0,21.826830937713893,207686,0.0,0.0,0.0,0.0,185.0,0.0,24.257357973990416,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7010,77,743
31,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,104925,0.0,0.0,0.0,0.0,188.0,0.0,37.780287474332646,210460,0.0,0.0,0.0,0.0,180.0,0.0,19.83504449007529,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3900,107,566
32,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,126127,0.0,0.0,0.0,0.0,183.0,0.0,28.73100616016427,105676,0.0,0.0,0.0,0.0,180.0,0.0,34.23545516769336,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,819,54,1029
33,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,126205,0.0,0.0,0.0,0.0,185.0,0.0,27.79397672826831,106331,0.0,0.0,0.0,0.0,183.0,0.0,30.747433264887064,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3195,70,770
34,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,126610,0.0,0.0,0.0,0.0,196.0,0.0,28.889801505817932,111815,0.0,0.0,0.0,0.0,188.0,0.0,29.525667351129364,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,1380,52,1082
35,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,200175,0.0,0.0,0.0,0.0,183.0,0.0,25.503764544832308,105583,0.0,0.0,0.0,0.0,183.0,0.0,34.6735112936345,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,1096,80,717
36,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,111575,0.0,0.0,0.0,0.0,198.0,0.0,28.78302532511978,105173,0.0,0.0,0.0,0.0,180.0,0.0,36.67624914442163,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2410,75,751
37,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,209113,0.0,0.0,0.0,0.0,203.0,0.0,23.438056125941138,208134,0.0,0.0,0.0,0.0,185.0,0.0,21.57221081451061,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,646,83,675
38,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,208029,0.0,0.0,0.0,0.0,188.0,0.0,21.843258042436688,111190,0.0,0.0,0.0,0.0,193.0,0.0,28.37782340862423,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2910,49,1140
39,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,106426,0.0,0.0,0.0,0.0,185.0,0.0,28.758384668035593,106432,0.0,0.0,0.0,0.0,188.0,0.0,28.298425735797398,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,382,87,639
40,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,210530,0.0,0.0,0.0,0.0,180.0,0.0,19.249144421629023,200116,0.0,0.0,0.0,0.0,185.0,0.0,25.709103353867214,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,493,94,624
41,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,202103,0.0,0.0,0.0,0.0,185.0,0.0,26.553045859000683,122330,0.0,0.0,0.0,0.0,196.0,0.0,27.709103353867214,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1620,37,1330
42,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,104792,0.0,0.0,0.0,0.0,193.0,0.0,38.50102669404517,208659,0.0,0.0,0.0,0.0,203.0,0.0,21.65160848733744,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,1280,30,1651
43,AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,128034,0.0,0.0,0.0,0.0,196.0,0.0,28.05475701574264,134868,0.0,0.0,0.0,0.0,188.0,0.0,28.66803559206023,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2555,40,1280
